Sex,Treatment,mean,SD
Female,Control,2.8292400671926097,2.406656827568685
Female,Treatment,2.9893705985205288,2.5400206076723153
Male,Control,2.1000505990164138,1.3552211877856826
Male,Treatment,2.9328194332942488,3.5812006369182834
